action_pack_gate_reason,city,confidence,decision,delivery_status,domain,index,next_product,order_intent_id,priority,product_code,province,quality_review_status,score,score_request_id,source_deep_order_intent_id,source_url,stage,status,target_name
score below natural action threshold 80,Brescia,0.68,buy_deep_analysis,,studiodentisticosandrozamboni.it,18,deep_analysis,,high,action_pack,BS,not_applicable,79,target-discovery-100-dentists-lombardy-optimized-20260602-121615-1780395375-score-018,ord_47a320f7,https://studiodentisticosandrozamboni.it/,action_pack_not_bought,,Studio Dentistico Sandro Zamboni
,Brescia,0.88,watchlist,,benacuslab.com,19,,,medium,,BS,not_applicable,64,target-discovery-100-dentists-lombardy-optimized-20260602-121615-1780395375-score-019,,https://benacuslab.com/,score,,Benacus Lab
,Brescia,0.67,buy_deep_analysis,,studiobeghetti.com,20,deep_analysis,,high,,BS,not_applicable,78,target-discovery-100-dentists-lombardy-optimized-20260602-121615-1780395375-score-020,,https://studiobeghetti.com/,score,,Studio Beghetti
,Brescia,0.67,buy_deep_analysis,deep_analysis_ready,studiobeghetti.com,20,deep_analysis,ord_6b28ec85,high,deep_analysis,BS,not_applicable,78,target-discovery-100-dentists-lombardy-optimized-20260602-121615-1780395375-score-020,,https://studiobeghetti.com/,purchase,,Studio Beghetti
score below natural action threshold 80,Brescia,0.67,buy_deep_analysis,,studiobeghetti.com,20,deep_analysis,,high,action_pack,BS,not_applicable,78,target-discovery-100-dentists-lombardy-optimized-20260602-121615-1780395375-score-020,ord_6b28ec85,https://studiobeghetti.com/,action_pack_not_bought,,Studio Beghetti
,Brescia,0.61,watchlist,,studiodentisticodebiasi.com,21,,,medium,,BS,not_applicable,63,target-discovery-100-dentists-lombardy-optimized-20260602-121615-1780395375-score-021,,https://studiodentisticodebiasi.com/,score,,Studio Dentistico De Biasi
,Bergamo,0.52,nurture,,studiodentisticoredaelli.it,22,nurture_signal,,high,,BG,not_applicable,80,target-discovery-100-dentists-lombardy-optimized-20260602-121615-1780395375-score-022,,https://studiodentisticoredaelli.it/,score,,Studio Dentistico Redaelli
,Bergamo,0.52,nurture,nurture_signal_ready,studiodentisticoredaelli.it,22,nurture_signal,ord_99633e7b,high,nurture_signal,BG,not_applicable,80,target-discovery-100-dentists-lombardy-optimized-20260602-121615-1780395375-score-022,,https://studiodentisticoredaelli.it/,purchase,,Studio Dentistico Redaelli
,Bergamo,0.76,watchlist,,studiodentisticorusso.eu,23,,,medium,,BG,not_applicable,63,target-discovery-100-dentists-lombardy-optimized-20260602-121615-1780395375-score-023,,https://studiodentisticorusso.eu/,score,,Studio Dentistico Russo
,Bergamo,0.88,buy_deep_analysis,,studiomottarossi.it,24,deep_analysis,,high,,BG,not_applicable,77,target-discovery-100-dentists-lombardy-optimized-20260602-121615-1780395375-score-024,,https://studiomottarossi.it/,score,,Studio Motta Rossi
,Bergamo,0.88,buy_deep_analysis,deep_analysis_ready,studiomottarossi.it,24,deep_analysis,ord_19a3b44e,high,deep_analysis,BG,not_applicable,77,target-discovery-100-dentists-lombardy-optimized-20260602-121615-1780395375-score-024,,https://studiomottarossi.it/,purchase,,Studio Motta Rossi
score below natural action threshold 80,Bergamo,0.88,buy_deep_analysis,,studiomottarossi.it,24,deep_analysis,,high,action_pack,BG,not_applicable,77,target-discovery-100-dentists-lombardy-optimized-20260602-121615-1780395375-score-024,ord_19a3b44e,https://studiomottarossi.it/,action_pack_not_bought,,Studio Motta Rossi
,Bergamo,0.72,watchlist,,studiodentisticotrebeschi.it,25,,,medium,,BG,not_applicable,59,target-discovery-100-dentists-lombardy-optimized-20260602-121615-1780395375-score-025,,https://studiodentisticotrebeschi.it/,score,,Studio Dentistico Trebeschi
,Bergamo,0.52,watchlist,,studiodentisticomaragliano.it,26,,,medium,,BG,not_applicable,61,target-discovery-100-dentists-lombardy-optimized-20260602-121615-1780395375-score-026,,https://studiodentisticomaragliano.it/,score,,Studio Dentistico Maragliano
,Bergamo,0.52,watchlist,,studiodentisticodentisalute.com,27,,,medium,,BG,not_applicable,60,target-discovery-100-dentists-lombardy-optimized-20260602-121615-1780395375-score-027,,https://studiodentisticodentisalute.com/,score,,Studio Dentistico Denti Salute
,Bergamo,0.52,watchlist,,studiodentisticoperico.it,28,,,medium,,BG,not_applicable,52,target-discovery-100-dentists-lombardy-optimized-20260602-121615-1780395375-score-028,,https://studiodentisticoperico.it/,score,,Studio Dentistico Perico
,Bergamo,0.52,watchlist,,studioodontoiatricobergamo.it,29,,,medium,,BG,not_applicable,61,target-discovery-100-dentists-lombardy-optimized-20260602-121615-1780395375-score-029,,https://studioodontoiatricobergamo.it/,score,,Studio Odontoiatrico Bergamo
,Bergamo,0.67,watchlist,,sdbergamo.it,30,,,medium,,BG,not_applicable,52,target-discovery-100-dentists-lombardy-optimized-20260602-121615-1780395375-score-030,,https://sdbergamo.it/,score,,SD Bergamo
,Bergamo,0.86,buy_deep_analysis,,studiodentisticoferroni.it,31,deep_analysis,,high,,BG,not_applicable,81,target-discovery-100-dentists-lombardy-optimized-20260602-121615-1780395375-score-031,,https://studiodentisticoferroni.it/,score,,Studio Dentistico Ferroni
,Bergamo,0.86,buy_deep_analysis,deep_analysis_ready,studiodentisticoferroni.it,31,deep_analysis,ord_4a4360b2,high,deep_analysis,BG,not_applicable,81,target-discovery-100-dentists-lombardy-optimized-20260602-121615-1780395375-score-031,,https://studiodentisticoferroni.it/,purchase,,Studio Dentistico Ferroni
"score, confidence, quality and deep analysis gates passed",Bergamo,0.86,buy_deep_analysis,action_pack_ready,studiodentisticoferroni.it,31,deep_analysis,ord_91ac0be4,high,action_pack,BG,not_applicable,81,target-discovery-100-dentists-lombardy-optimized-20260602-121615-1780395375-score-031,ord_4a4360b2,https://studiodentisticoferroni.it/,purchase,,Studio Dentistico Ferroni
,Monza,0.87,buy_deep_analysis,,studiodentisticoabaco.it,32,deep_analysis,,high,,MB,not_applicable,78,target-discovery-100-dentists-lombardy-optimized-20260602-121615-1780395375-score-032,,https://studiodentisticoabaco.it/,score,,Studio Dentistico Abaco
,Monza,0.87,buy_deep_analysis,deep_analysis_ready,studiodentisticoabaco.it,32,deep_analysis,ord_6f10a24c,high,deep_analysis,MB,not_applicable,78,target-discovery-100-dentists-lombardy-optimized-20260602-121615-1780395375-score-032,,https://studiodentisticoabaco.it/,purchase,,Studio Dentistico Abaco
score below natural action threshold 80,Monza,0.87,buy_deep_analysis,,studiodentisticoabaco.it,32,deep_analysis,,high,action_pack,MB,not_applicable,78,target-discovery-100-dentists-lombardy-optimized-20260602-121615-1780395375-score-032,ord_6f10a24c,https://studiodentisticoabaco.it/,action_pack_not_bought,,Studio Dentistico Abaco
,Monza,0.67,nurture,,centrodentisticomonza.com,33,nurture_signal,,medium,,MB,not_applicable,66,target-discovery-100-dentists-lombardy-optimized-20260602-121615-1780395375-score-033,,https://centrodentisticomonza.com/,score,,Centro Dentistico Monza
,Monza,0.67,nurture,nurture_signal_ready,centrodentisticomonza.com,33,nurture_signal,ord_49cf03fb,medium,nurture_signal,MB,not_applicable,66,target-discovery-100-dentists-lombardy-optimized-20260602-121615-1780395375-score-033,,https://centrodentisticomonza.com/,purchase,,Centro Dentistico Monza
,Monza,0.88,buy_deep_analysis,,studiodentistico-russo.it,34,deep_analysis,,high,,MB,not_applicable,81,target-discovery-100-dentists-lombardy-optimized-20260602-121615-1780395375-score-034,,https://studiodentistico-russo.it/,score,,Studio Dentistico Russo
,Monza,0.88,buy_deep_analysis,deep_analysis_ready,studiodentistico-russo.it,34,deep_analysis,ord_3926d583,high,deep_analysis,MB,not_applicable,81,target-discovery-100-dentists-lombardy-optimized-20260602-121615-1780395375-score-034,,https://studiodentistico-russo.it/,purchase,,Studio Dentistico Russo
"score, confidence, quality and deep analysis gates passed",Monza,0.88,buy_deep_analysis,action_pack_ready,studiodentistico-russo.it,34,deep_analysis,ord_bae6e021,high,action_pack,MB,not_applicable,81,target-discovery-100-dentists-lombardy-optimized-20260602-121615-1780395375-score-034,ord_3926d583,https://studiodentistico-russo.it/,purchase,,Studio Dentistico Russo
,Monza,0.87,watchlist,,studiodentisticocalvi.it,35,,,medium,,MB,not_applicable,63,target-discovery-100-dentists-lombardy-optimized-20260602-121615-1780395375-score-035,,https://studiodentisticocalvi.it/,score,,Studio Dentistico Calvi
,Monza,0.52,nurture,,studiodentisticospreafico.it,36,nurture_signal,,high,,MB,not_applicable,76,target-discovery-100-dentists-lombardy-optimized-20260602-121615-1780395375-score-036,,https://studiodentisticospreafico.it/,score,,Studio Dentistico Spreafico
,Monza,0.52,nurture,nurture_signal_ready,studiodentisticospreafico.it,36,nurture_signal,ord_12abb43e,high,nurture_signal,MB,not_applicable,76,target-discovery-100-dentists-lombardy-optimized-20260602-121615-1780395375-score-036,,https://studiodentisticospreafico.it/,purchase,,Studio Dentistico Spreafico
,Monza,0.52,nurture,,dentalmonza.it,37,nurture_signal,,medium,,MB,not_applicable,67,target-discovery-100-dentists-lombardy-optimized-20260602-121615-1780395375-score-037,,https://dentalmonza.it/,score,,Dental Monza
,Monza,0.52,nurture,nurture_signal_ready,dentalmonza.it,37,nurture_signal,ord_136ed95a,medium,nurture_signal,MB,not_applicable,67,target-discovery-100-dentists-lombardy-optimized-20260602-121615-1780395375-score-037,,https://dentalmonza.it/,purchase,,Dental Monza
,Lissone,0.88,buy_deep_analysis,,studiodentisticolissone.com,38,deep_analysis,,high,,MB,not_applicable,77,target-discovery-100-dentists-lombardy-optimized-20260602-121615-1780395375-score-038,,https://studiodentisticolissone.com/,score,,Studio Dentistico Lissone
