action_pack_gate_reason,city,commercial_strength,confidence,decision,delivery_status,domain,index,next_product,order_intent_id,priority,product_code,province,quality_review_status,score,score_request_id,source_deep_order_intent_id,source_url,spend_policy,stage,status,target_name
,Bergamo,strong,0.86,buy_deep_analysis,,studiodentisticoferroni.it,31,deep_analysis,,high,,BG,not_applicable,81,target-discovery-100-dentists-lombardy-strength-routing-20260602-122911-1780396151-score-031,,https://studiodentisticoferroni.it/,buy_deep_analysis_then_consider_action_pack_if_deep_confirms,score,,Studio Dentistico Ferroni
,Bergamo,strong,0.86,buy_deep_analysis,deep_analysis_ready,studiodentisticoferroni.it,31,deep_analysis,ord_ca8d486a,high,deep_analysis,BG,not_applicable,81,target-discovery-100-dentists-lombardy-strength-routing-20260602-122911-1780396151-score-031,,https://studiodentisticoferroni.it/,buy_deep_analysis_then_consider_action_pack_if_deep_confirms,purchase,,Studio Dentistico Ferroni
"score, confidence, quality and deep analysis gates passed",Bergamo,strong,0.86,buy_deep_analysis,action_pack_ready,studiodentisticoferroni.it,31,deep_analysis,ord_803eb90c,high,action_pack,BG,not_applicable,81,target-discovery-100-dentists-lombardy-strength-routing-20260602-122911-1780396151-score-031,ord_ca8d486a,https://studiodentisticoferroni.it/,buy_deep_analysis_then_consider_action_pack_if_deep_confirms,purchase,,Studio Dentistico Ferroni
,Monza,medium,0.87,buy_deep_analysis,,studiodentisticoabaco.it,32,deep_analysis,,high,,MB,not_applicable,78,target-discovery-100-dentists-lombardy-strength-routing-20260602-122911-1780396151-score-032,,https://studiodentisticoabaco.it/,buy_low_or_mid_cost_next_step_only,score,,Studio Dentistico Abaco
,Monza,medium,0.87,buy_deep_analysis,deep_analysis_ready,studiodentisticoabaco.it,32,deep_analysis,ord_5a1a3ae4,high,deep_analysis,MB,not_applicable,78,target-discovery-100-dentists-lombardy-strength-routing-20260602-122911-1780396151-score-032,,https://studiodentisticoabaco.it/,buy_low_or_mid_cost_next_step_only,purchase,,Studio Dentistico Abaco
score below natural action threshold 80,Monza,medium,0.87,buy_deep_analysis,,studiodentisticoabaco.it,32,deep_analysis,,high,action_pack,MB,not_applicable,78,target-discovery-100-dentists-lombardy-strength-routing-20260602-122911-1780396151-score-032,ord_5a1a3ae4,https://studiodentisticoabaco.it/,buy_low_or_mid_cost_next_step_only,action_pack_not_bought,,Studio Dentistico Abaco
,Monza,medium,0.67,nurture,,centrodentisticomonza.com,33,nurture_signal,,medium,,MB,not_applicable,66,target-discovery-100-dentists-lombardy-strength-routing-20260602-122911-1780396151-score-033,,https://centrodentisticomonza.com/,buy_low_or_mid_cost_next_step_only,score,,Centro Dentistico Monza
,Monza,medium,0.67,nurture,nurture_signal_ready,centrodentisticomonza.com,33,nurture_signal,ord_834d0143,medium,nurture_signal,MB,not_applicable,66,target-discovery-100-dentists-lombardy-strength-routing-20260602-122911-1780396151-score-033,,https://centrodentisticomonza.com/,buy_low_or_mid_cost_next_step_only,purchase,,Centro Dentistico Monza
,Monza,strong,0.88,buy_deep_analysis,,studiodentistico-russo.it,34,deep_analysis,,high,,MB,not_applicable,81,target-discovery-100-dentists-lombardy-strength-routing-20260602-122911-1780396151-score-034,,https://studiodentistico-russo.it/,buy_deep_analysis_then_consider_action_pack_if_deep_confirms,score,,Studio Dentistico Russo
,Monza,strong,0.88,buy_deep_analysis,deep_analysis_ready,studiodentistico-russo.it,34,deep_analysis,ord_ca98c99b,high,deep_analysis,MB,not_applicable,81,target-discovery-100-dentists-lombardy-strength-routing-20260602-122911-1780396151-score-034,,https://studiodentistico-russo.it/,buy_deep_analysis_then_consider_action_pack_if_deep_confirms,purchase,,Studio Dentistico Russo
